x,y,z,r
-1.325,-24.0296,-0.07499999999999998,0.025
-1.325,-24.0296,-0.024999999999999994,0.025
-1.325,-24.0296,0.024999999999999994,0.025
-1.325,-24.0296,0.07500000000000004,0.025
-1.325,-24.0296,0.12500000000000003,0.025
-1.325,-24.0296,0.17500000000000002,0.025
-1.325,-24.0296,0.225,0.025
-1.275,-24.0296,-0.225,0.025
-1.275,-24.0296,-0.175,0.025
-1.275,-24.0296,-0.125,0.025
-1.275,-24.0296,-0.07499999999999998,0.025
-1.275,-24.0296,-0.024999999999999994,0.025
-1.275,-24.0296,0.024999999999999994,0.025
-1.275,-24.0296,0.07500000000000004,0.025
-1.275,-24.0296,0.12500000000000003,0.025
-1.275,-24.0296,0.17500000000000002,0.025
-1.275,-24.0296,0.225,0.025
-1.225,-24.0296,-0.225,0.025
-1.225,-24.0296,-0.175,0.025
-1.225,-24.0296,-0.125,0.025
-1.225,-24.0296,-0.07499999999999998,0.025
-1.225,-24.0296,-0.024999999999999994,0.025
-1.225,-24.0296,0.024999999999999994,0.025
-1.225,-24.0296,0.07500000000000004,0.025
-1.225,-24.0296,0.12500000000000003,0.025
-1.225,-24.0296,0.17500000000000002,0.025
-1.225,-24.0296,0.225,0.025
-1.175,-24.0296,-0.225,0.025
-1.175,-24.0296,-0.175,0.025
-1.175,-24.0296,-0.125,0.025
-1.175,-24.0296,-0.07499999999999998,0.025
-1.175,-24.0296,-0.024999999999999994,0.025
-1.175,-24.0296,0.024999999999999994,0.025
-1.175,-24.0296,0.07500000000000004,0.025
-1.175,-24.0296,0.12500000000000003,0.025
-1.175,-24.0296,0.17500000000000002,0.025
-1.175,-24.0296,0.225,0.025
-1.125,-24.0296,-0.225,0.025
-1.125,-24.0296,-0.175,0.025
-1.125,-24.0296,-0.125,0.025
-1.125,-24.0296,-0.07499999999999998,0.025
-1.125,-24.0296,-0.024999999999999994,0.025
-1.125,-24.0296,0.024999999999999994,0.025
-1.125,-24.0296,0.07500000000000004,0.025
-1.125,-24.0296,0.12500000000000003,0.025
-1.125,-24.0296,0.17500000000000002,0.025
-1.125,-24.0296,0.225,0.025
-1.075,-24.0296,-0.225,0.025
-1.075,-24.0296,-0.175,0.025
-1.075,-24.0296,-0.125,0.025
-1.075,-24.0296,-0.07499999999999998,0.025
-1.075,-24.0296,-0.024999999999999994,0.025
-1.075,-24.0296,0.024999999999999994,0.025
-1.075,-24.0296,0.07500000000000004,0.025
-1.075,-24.0296,0.12500000000000003,0.025
-1.075,-24.0296,0.17500000000000002,0.025
-1.075,-24.0296,0.225,0.025
-1.025,-24.0296,-0.225,0.025
-1.025,-24.0296,-0.175,0.025
-1.025,-24.0296,-0.125,0.025
-1.025,-24.0296,-0.07499999999999998,0.025
-1.025,-24.0296,-0.024999999999999994,0.025
-1.025,-24.0296,0.024999999999999994,0.025
-1.025,-24.0296,0.07500000000000004,0.025
-1.025,-24.0296,0.12500000000000003,0.025
-1.025,-24.0296,0.17500000000000002,0.025
-1.025,-24.0296,0.225,0.025
-0.9750000000000001,-24.0296,-0.225,0.025
-0.9750000000000001,-24.0296,-0.175,0.025
-0.9750000000000001,-24.0296,-0.125,0.025
-0.9750000000000001,-24.0296,-0.07499999999999998,0.025
-0.9750000000000001,-24.0296,-0.024999999999999994,0.025
-0.9750000000000001,-24.0296,0.024999999999999994,0.025
-0.9750000000000001,-24.0296,0.07500000000000004,0.025
-0.9750000000000001,-24.0296,0.12500000000000003,0.025
-0.9750000000000001,-24.0296,0.17500000000000002,0.025
-0.9750000000000001,-24.0296,0.225,0.025
-0.925,-24.0296,-0.225,0.025
-0.925,-24.0296,-0.175,0.025
-0.925,-24.0296,-0.125,0.025
-0.925,-24.0296,-0.07499999999999998,0.025
-0.925,-24.0296,-0.024999999999999994,0.025
-0.925,-24.0296,0.024999999999999994,0.025
-0.925,-24.0296,0.07500000000000004,0.025
-0.925,-24.0296,0.12500000000000003,0.025
-0.925,-24.0296,0.17500000000000002,0.025
